year,Value,Units,variable_code
2021,Level 4,MN114,H39
2021,Level 4,MN114,H40
2021,Level 4,MN114,H41
2021,Level 4,MN115,H01
2021,Level 4,MN115,H04
2021,Level 4,MN115,H05
2021,Level 4,MN115,H06
2021,Level 4,MN115,H07
2021,Level 4,MN115,H08
2021,Level 4,MN115,H09
2021,Level 4,MN115,H10
2021,Level 4,MN115,H11
2021,Level 4,MN115,H12
2021,Level 4,MN115,H13
2021,Level 4,MN115,H19
2021,Level 4,MN115,H20
2021,Level 4,MN115,H21
2021,Level 4,MN115,H22
2021,Level 4,MN115,H23
2021,Level 4,MN115,H24
2021,Level 4,MN115,H25
2021,Level 4,MN115,H26
2021,Level 4,MN115,H27
2021,Level 4,MN115,H28
2021,Level 4,MN115,H29
2021,Level 4,MN115,H30
2021,Level 4,MN115,H31
2021,Level 4,MN115,H32
2021,Level 4,MN115,H33
2021,Level 4,MN115,H34
2021,Level 4,MN115,H35
2021,Level 4,MN115,H36
2021,Level 4,MN115,H37
2021,Level 4,MN115,H39
2021,Level 4,MN115,H40
2021,Level 4,MN115,H41
2021,Level 3,MN21,H01
2021,Level 3,MN21,H04
2021,Level 3,MN21,H05
2021,Level 3,MN21,H06
2021,Level 3,MN21,H07
2021,Level 3,MN21,H08
2021,Level 3,MN21,H09
2021,Level 3,MN21,H10
2021,Level 3,MN21,H11
2021,Level 3,MN21,H12
2021,Level 3,MN21,H13
2021,Level 3,MN21,H19
2021,Level 3,MN21,H20
2021,Level 3,MN21,H21
2021,Level 3,MN21,H22
2021,Level 3,MN21,H23
2021,Level 3,MN21,H24
2021,Level 3,MN21,H25
2021,Level 3,MN21,H26
2021,Level 3,MN21,H27
2021,Level 3,MN21,H28
2021,Level 3,MN21,H29
2021,Level 3,MN21,H30
2021,Level 3,MN21,H31
2021,Level 3,MN21,H32
2021,Level 3,MN21,H33
2021,Level 3,MN21,H34
2021,Level 3,MN21,H35
2021,Level 3,MN21,H36
2021,Level 3,MN21,H37
2021,Level 3,MN21,H39
2021,Level 3,MN21,H40
2021,Level 3,MN21,H41
2021,Level 4,MN211,H01
2021,Level 4,MN211,H04
2021,Level 4,MN211,H05
2021,Level 4,MN211,H06
2021,Level 4,MN211,H07
2021,Level 4,MN211,H08
2021,Level 4,MN211,H09
2021,Level 4,MN211,H10
2021,Level 4,MN211,H11
2021,Level 4,MN211,H12
2021,Level 4,MN211,H13
2021,Level 4,MN211,H19
2021,Level 4,MN211,H20
2021,Level 4,MN211,H21
2021,Level 4,MN211,H22
2021,Level 4,MN211,H23
2021,Level 4,MN211,H24
2021,Level 4,MN211,H25
2021,Level 4,MN211,H26
2021,Level 4,MN211,H27
2021,Level 4,MN211,H28
2021,Level 4,MN211,H29
2021,Level 4,MN211,H30
2021,Level 4,MN211,H31
2021,Level 4,MN211,H32
2021,Level 4,MN211,H33
2021,Level 4,MN211,H34
2021,Level 4,MN211,H35
2021,Level 4,MN211,H36
2021,Level 4,MN211,H37
2021,Level 4,MN211,H39
2021,Level 4,MN211,H40
2021,Level 4,MN211,H41
2021,Level 4,MN212,H01
2021,Level 4,MN212,H04
2021,Level 4,MN212,H05
2021,Level 4,MN212,H06
2021,Level 4,MN212,H07
2021,Level 4,MN212,H08
2021,Level 4,MN212,H09
2021,Level 4,MN212,H10
2021,Level 4,MN212,H11
2021,Level 4,MN212,H12
2021,Level 4,MN212,H13
2021,Level 4,MN212,H19
2021,Level 4,MN212,H20
2021,Level 4,MN212,H21
2021,Level 4,MN212,H22
2021,Level 4,MN212,H23
2021,Level 4,MN212,H24
2021,Level 4,MN212,H25
2021,Level 4,MN212,H26
2021,Level 4,MN212,H27
2021,Level 4,MN212,H28
2021,Level 4,MN212,H29
2021,Level 4,MN212,H30
2021,Level 4,MN212,H31
2021,Level 4,MN212,H32
2021,Level 4,MN212,H33
2021,Level 4,MN212,H34
2021,Level 4,MN212,H35
2021,Level 4,MN212,H36
2021,Level 4,MN212,H37
2021,Level 4,MN212,H39
2021,Level 4,MN212,H40
2021,Level 4,MN212,H41
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
2021,Level 4,MN213,Dollars (millions)
